Test Number: 0
Sensor: SPS30
Start Time: 1621372656.8049235
Stop Time: 1621373270.3372402
Run Time: 614
Samples,Epoch_UTC,NumbConc_0.5,NumbConc_1.0,NumbConc_2.5,NumbConc_4.0,NumbConc_10.
35,1621372983.9299998,906.7991882324219,1085.2680908203124,1110.6025146484376,1115.1202392578125,1115.8748168945312
36,1621372994.02,916.7048645019531,1095.6354125976563,1120.0552490234375,1124.3775634765625,1125.1064575195312
37,1621373004.1000001,930.5459838867188,1111.7072998046874,1136.11884765625,1140.4289672851562,1141.1581420898438
38,1621373014.1500003,938.3348876953125,1119.7183349609375,1143.29794921875,1147.4312255859375,1148.1369506835938
39,1621373024.2100003,945.6416320800781,1126.25546875,1148.2714965820312,1152.0780639648438,1152.7395629882812
40,1621373034.2999997,970.780126953125,1156.037939453125,1178.513232421875,1182.3951416015625,1183.0705688476562
41,1621373044.3099997,1017.6665710449219,1211.8085693359376,1235.3186157226562,1239.3775634765625,1240.0841918945312
42,1621373054.3999999,1030.5326782226562,1225.5196899414063,1248.0382934570312,1251.8838256835938,1252.5626708984375
43,1621373064.3999999,1015.7268798828125,1206.9421264648438,1228.3602172851563,1231.9908813476563,1232.6378540039063
44,1621373074.0,998.4544745551216,1188.6483832465278,1211.4879557291667,1215.4237196180557,1216.1105821397568
45,1621373083.5500002,979.93544921875,1165.9714233398438,1187.8827758789062,1191.6419067382812,1192.3016357421875
46,1621373093.6000001,966.6047119140625,1150.0840454101562,1171.6765747070312,1175.3802856445313,1176.03046875
47,1621373103.6900003,963.0761352539063,1145.5114624023438,1166.7255737304688,1170.3542358398438,1170.9934692382812
48,1621373113.73,968.3685913085938,1150.8272338867187,1171.3738159179688,1174.8613037109376,1175.48173828125
49,1621373123.7999997,990.18271484375,1179.3774536132812,1202.4894897460938,1206.4874633789063,1207.1817993164063
50,1621373133.8899999,1003.2201782226563,1196.7465576171876,1221.6366943359376,1225.9901245117187,1226.7355346679688
51,1621373143.95,1002.1957946777344,1196.34873046875,1221.873388671875,1226.3578735351562,1227.1213745117188
52,1621373154.0,1012.2105895996094,1205.4329223632812,1228.91396484375,1232.9710815429687,1233.676708984375
53,1621373164.0600002,1022.1152282714844,1216.9015747070312,1240.3508178710938,1244.39384765625,1245.0989135742188
54,1621373174.1000001,1009.8159484863281,1201.5925537109374,1224.2265014648438,1228.1114013671875,1228.7928100585937
55,1621373184.2000003,993.0952697753906,1180.214501953125,1201.2870727539062,1204.8638793945313,1205.5002075195312
56,1621373194.2499998,957.1331298828125,1136.9423950195312,1156.8242797851562,1160.1837524414063,1160.7848510742188
57,1621373204.3099997,923.8388488769531,1096.2971069335938,1114.6096801757812,1117.6719970703125,1118.2271606445313
58,1621373214.3999999,902.3334350585938,1071.5544799804688,1090.0631713867188,1093.1820434570313,1093.7420166015625
