Sample,Filter,Layers,Date,dP,pen_total,0.3,0.37,0.46,0.57,0.71,0.88,1.09,1.35,1.68,2.08,2.58,3.2,3.96,4.92,6.1,7.56,9.37,Total
75,FILTI_WASH,1,08/03/2021,4,0.854999096,0.918975858,0.9023586243,0.8832598604,0.8736606053,0.8360891281,0.8130732967,0.7725897774,0.749899746,0.7600777076,0.6967471144,0.5177664975,0.4848484848,0,0,0,nan,nan,0.8965084398
76,OLFN,1,08/04/2021,6,0.9870279146,1.010765649,1.011108529,1.021838097,0.9869928368,0.935493875,1.000319528,1.017526442,0.9722565135,0.9710580041,0.9106659448,1.057591623,1.571428571,0.6666666667,nan,nan,nan,nan,1.008527712
77,OLFN,1,08/04/2021,5,0.952616807,0.9805990542,0.9757307635,0.9538006433,0.9495929472,0.9515007464,0.9212094664,0.9250019191,0.937398374,0.9707223422,1.01405518,1.030927835,1.25,0.8,nan,nan,nan,nan,0.9689596491
78,OLFN,1,08/04/2021,5,0.9528474182,0.974676708,0.973658673,0.9719270715,0.9713584729,0.9666389056,0.9455475533,0.9328866473,0.8964990452,0.879554222,0.792219275,0.6279069767,0.5333333333,0.3333333333,0,nan,nan,nan,0.9713904051
79,OLFN,2,08/04/2021,11,0.8559001208,0.9249436469,0.9035054466,0.8754473424,0.8564640361,0.8438729114,0.7947759172,0.7564184171,0.7189526638,0.7148342765,0.6468431772,0.5052631579,0.5714285714,0,0,nan,nan,nan,0.8953401828
80,OLFN,2,08/04/2021,11,0.8707035014,0.946527041,0.911129983,0.8633099234,0.8373811699,0.8090744236,0.783595823,0.7968427789,0.8126701312,0.8375819374,0.8591992803,0.936802974,1.102040816,0.2222222222,0,nan,nan,nan,0.9020788203
81,OLFN,2,08/04/2021,15,0.8830457863,0.9307607604,0.9404529639,0.9375093453,0.9350791807,0.925926302,0.9090108949,0.8982109336,0.8912169731,0.8505422993,0.8511749347,0.6391752577,0.724137931,0.5454545455,0,0,nan,nan,0.9333537767
82,OLFN,3,08/04/2021,21,0.8590280013,0.9145353638,0.9151496187,0.9122528112,0.8968545317,0.875421884,0.8358539795,0.7803859447,0.7350657291,0.7043504593,0.5699365908,0.3726708075,0.28125,0,0,0,nan,nan,0.9065496707
83,OLFN,3,08/04/2021,17,0.8372381691,0.9170219814,0.8861612782,0.8465499237,0.8203367849,0.77439146,0.7406284133,0.7158760405,0.7107933579,0.6870683039,0.6570670709,0.6038961039,0.2068965517,0,0,nan,0,nan,0.8753609328
84,OLFN,3,08/04/2021,19,0.848636437,0.9073355584,0.866649678,0.8106238297,0.7685009966,0.7149252057,0.7005632213,0.6849778153,0.6713930348,0.6561760773,0.7078798433,0.7058823529,0.6382978723,0.25,2,nan,0,nan,0.8532225727
85,HAL_MASK_IPA,1,08/04/2021,17,0.7722572509,0.8846222782,0.8352887457,0.7615894766,0.706568222,0.6281722778,0.5872637051,0.532677604,0.4889009572,0.4249942568,0.3523622047,0.2735042735,0,0,0,0,nan,nan,0.8150014672
86,HAL_MASK_IPA,1,08/04/2021,17,0.7658111055,0.8927776593,0.8438670156,0.7700072664,0.7299571502,0.694131955,0.6176787944,0.5859751759,0.5480377957,0.5616918429,0.5045317221,0.5178571429,0.2909090909,0.25,0,0,nan,nan,0.8277686199
87,HAL_MASK_IPA,1,08/04/2021,19,0.6984312417,0.8405957918,0.7720348172,0.6786508278,0.6176854569,0.5509308644,0.4990549991,0.4641330535,0.4173169573,0.4089131208,0.354589372,0.2644628099,0.1666666667,0.25,nan,nan,nan,nan,0.7522095303
