Epoch_UTC,Local_Date_Time,MassConc_1.0,MassConc_2.5,MassConc_4.0,MassConc_10.,NumbConc_0.5,NumbConc_1.0,NumbConc_2.5,NumbConc_4.0,NumbConc_10.,TypPartSize
1620846512.7,2021-05-12T12:08:32.700000-07:00,1.2402276992797852,1.5212663412094116,1.691038727760315,1.7249940633773804,8.028268814086914,9.637107849121094,9.884448051452637,9.929179191589355,9.936516761779785,0.6226181983947754
1620846513.7,2021-05-12T12:08:33.700000-07:00,1.2426167726516724,1.5202196836471558,1.6871029138565063,1.7204792499542236,8.051228523254395,9.659687995910645,9.90374755859375,9.947787284851074,9.955031394958496,0.618659257888794
1620846514.7,2021-05-12T12:08:34.700000-07:00,1.2532129287719727,1.5257097482681274,1.6879665851593018,1.7204173803329468,8.133968353271484,9.749605178833008,9.98868465423584,10.031639099121094,10.038744926452637,0.6235669851303101
1620846515.7,2021-05-12T12:08:35.700000-07:00,1.2644659280776978,1.53788423538208,1.7003626823425293,1.7328583002090454,8.209881782531738,9.838690757751465,10.078474998474121,10.121516227722168,10.128644943237305,0.6226499080657959
1620846516.7,2021-05-12T12:08:36.700000-07:00,1.267765760421753,1.5380431413650513,1.6978269815444946,1.7297836542129517,8.238571166992188,9.868258476257324,10.105027198791504,10.14742660522461,10.154471397399902,0.6188418865203857
1620846517.7,2021-05-12T12:08:37.700000-07:00,1.2582534551620483,1.5265027284622192,1.68508780002594,1.7168046236038208,8.176753997802734,9.794214248657227,10.029206275939941,10.071288108825684,10.078279495239258,0.6188418865203857
1620846518.7,2021-05-12T12:08:38.700000-07:00,1.2449263334274292,1.5085535049438477,1.664017677307129,1.6951087713241577,8.093504905700684,9.692275047302246,9.923095703125,9.964384078979492,9.97125244140625,0.6201342344284058
1620846519.7,2021-05-12T12:08:39.700000-07:00,1.2285875082015991,1.48517644405365,1.6357041597366333,1.665808916091919,7.9940266609191895,9.568684577941895,9.793094635009766,9.83314037322998,9.839823722839355,0.6163977384567261
1620846520.7,2021-05-12T12:08:40.700000-07:00,1.2187658548355103,1.4781160354614258,1.6313340663909912,1.6619771718978882,7.921051025390625,9.487329483032227,9.714492797851562,9.755159378051758,9.761918067932129,0.6221742630004883
1620846521.7,2021-05-12T12:08:41.700000-07:00,1.1980013847351074,1.4529329538345337,1.6035422086715698,1.633663296699524,7.786098480224609,9.325691223144531,9.54898452758789,9.588958740234375,9.595602989196777,0.6221743822097778
1620846522.7,2021-05-12T12:08:42.700000-07:00,1.169202208518982,1.4180054664611816,1.5649940967559814,1.594391107559204,7.598925590515137,9.101508140563965,9.319433212280273,9.358447074890137,9.364930152893066,0.6221743822097778
1620846523.7,2021-05-12T12:08:43.700000-07:00,1.1418275833129883,1.3873546123504639,1.5329645872116089,1.562085509300232,7.416205883026123,8.885838508605957,9.101070404052734,9.139668464660645,9.146069526672363,0.6250647306442261
1620846524.7,2021-05-12T12:08:44.700000-07:00,1.1227562427520752,1.3664988279342651,1.5115509033203125,1.5405616760253906,7.287971496582031,8.735084533691406,8.948908805847168,8.98731517791748,8.993671417236328,0.6238455772399902
1620846525.7,2021-05-12T12:08:45.700000-07:00,1.1039330959320068,1.3493269681930542,1.496590495109558,1.5260423421859741,7.154974937438965,8.582846641540527,8.798507690429688,8.83739185333252,8.843794822692871,0.626322865486145
1620846526.7,2021-05-12T12:08:46.700000-07:00,1.099399447441101,1.3484776020050049,1.498934268951416,1.5290255546569824,7.11674690246582,8.542859077453613,8.762068748474121,8.801711082458496,8.80821418762207,0.6279375553131104
1620846527.7,2021-05-12T12:08:47.700000-07:00,1.0841282606124878,1.329746127128601,1.4781123399734497,1.5077855587005615,7.0178937911987305,8.424196243286133,8.640360832214355,8.679451942443848,8.685864448547363,0.6279374361038208
1620846528.7,2021-05-12T12:08:48.700000-07:00,1.0609174966812134,1.3012768030166626,1.4464664459228516,1.4755043983459473,6.867643356323242,8.243837356567383,8.455373764038086,8.49362850189209,8.499903678894043,0.6279374361038208
1620846529.7,2021-05-12T12:08:49.700000-07:00,1.0536118745803833,1.2944107055664062,1.4402955770492554,1.4694732427597046,6.816403388977051,8.184954643249512,8.397012710571289,8.435413360595703,8.441701889038086,0.6276568174362183
1620846530.7,2021-05-12T12:08:50.700000-07:00,1.0368874073028564,1.2738639116287231,1.4174330234527588,1.4461475610733032,6.708203315734863,8.055030822753906,8.26372241973877,8.301514625549316,8.307703018188477,0.6276568174362183
1620846531.7,2021-05-12T12:08:51.700000-07:00,1.0257700681686401,1.2493456602096558,1.382585883140564,1.4092342853546143,6.656746864318848,7.979632377624512,8.175825119018555,8.211088180541992,8.216917991638184,0.6287392377853394
1620846532.7,2021-05-12T12:08:52.700000-07:00,1.0281511545181274,1.2427284717559814,1.368576169013977,1.3937456607818604,6.690135478973389,8.00776481628418,8.195422172546387,8.22890567779541,8.234493255615234,0.626971960067749
1620846533.7,2021-05-12T12:08:53.700000-07:00,1.0210133790969849,1.2341010570526123,1.3590750694274902,1.384069800376892,6.64369010925293,7.95217227935791,8.138526916503906,8.171777725219727,8.177327156066895,0.626971960067749
