Sample,Filter,Layers,Voltage,Date,dP,pen_total,0.3,0.37,0.46,0.57,0.71,0.88,1.09,1.35,1.68,2.08,2.58,3.2,3.96,4.92,6.1,7.56,9.37,Total
14,FLANNEL,1,N,06/29/2021,15,0.9232613909,0.9117375013,0.8789886708,0.8546423162,0.8277740822,0.8081659751,0.7887374851,0.7581560284,0.7238302503,0.6459179071,0.5887265136,0.6197183099,0.3448275862,0.2,0,nan,nan,nan,0.8880507125
15,FLANNEL,1,N,06/29/2021,16,0.8547880691,0.8794670506,0.8451445881,0.8059552536,0.7798133142,0.7505599013,0.719285235,0.6754677993,0.6206896552,0.6294964029,0.5702647658,0.4705882353,0.56,0,0,nan,nan,nan,0.8511871637
19,3M_1860_IPA,1,N,07/06/2021,50,0.4247196456,0.509757458,0.4535002511,0.3782204269,0.3174090425,0.273829044,0.1917217204,0.1426547,0.1053535643,0.08147321429,0.01666666667,0,0,0,nan,nan,0,nan,0.4561297371
20,3M_1860_IPA,1,N,07/06/2021,45,0.3726523888,0.4514148078,0.3874158808,0.3175996876,0.272192471,0.2200690413,0.1643976898,0.1300143266,0.09287326669,0.08222490931,0.05063291139,0,0,0,nan,nan,0,nan,0.3984698966
21,3M_1860_IPA,1,N,07/06/2021,35,0.4967833906,0.5691327932,0.5051316156,0.4418350013,0.3729031926,0.3196699393,0.242042042,0.2066666667,0.1622474747,0.1275881365,0.05982905983,0.06976744186,0,0,nan,0,0,nan,0.5143215606
25,PELL_930,5,N,07/12/2021,9,0.8522623144,0.8779294997,0.885913137,0.8965794254,0.9305108514,0.9394068883,0.9235642473,0.8952861953,0.8589108911,0.8066666667,0.7872340426,0.46875,0.2727272727,0,0,nan,nan,nan,0.8862186828
26,PELL_930,5,N,07/12/2021,9,0.8494195046,0.8722200669,0.8681183857,0.858892352,0.8493062365,0.8427779424,0.8380792853,0.8001984783,0.8057464085,0.7598012148,0.7080745342,0.6769230769,0.5263157895,1.333333333,nan,nan,nan,nan,0.866626634
27,PELL_930,5,N,07/12/2021,10,0.8731349238,0.8996729719,0.8970046631,0.8908712141,0.8721886999,0.8488490183,0.834750036,0.7935306263,0.8323510151,0.6953989517,0.6997742664,0.5333333333,1.090909091,0,nan,nan,nan,nan,0.8939088751
28,SMT_FB_THCK,5,N,07/21/2021,23,0.7397509554,0.7606456347,0.7537629639,0.7285373261,0.6999613244,0.6965917077,0.6458075847,0.6019586507,0.5796443435,0.5575167377,0.4194260486,0.253164557,0.1,0.4,0,nan,nan,nan,0.7472303799
29,SMT_FB_THCK,5,N,07/21/2021,24,0.7639955511,0.7640187616,0.7712880535,0.7620621743,0.7580703538,0.7405529954,0.7132792769,0.6570915619,0.6421880854,0.5948275862,0.5829596413,0.2368421053,0.4,0,0,nan,nan,nan,0.7633003433
30,SMT_FB_THCK,5,N,07/21/2021,24,0.761825548,0.7721184335,0.7748872747,0.764843397,0.7559451578,0.7432669642,0.7147109727,0.6734979041,0.6482705014,0.5266538215,0.4398148148,0.3793103448,0,0,0,nan,nan,nan,0.7687696402
31,SMT_FB_THCK,7,N,07/21/2021,35,0.7506214201,0.7449947026,0.7545388502,0.758564405,0.7595125229,0.7063593902,0.7114308553,0.6487455197,0.6488164532,0.5320754717,0.4601769912,0.3636363636,0.4,0,nan,nan,nan,nan,0.7479310866
32,SMT_FB_THCK,7,N,07/21/2021,41,0.6435227579,0.6703722142,0.6699092658,0.6620373126,0.6596559699,0.6082101127,0.5809511763,0.4940204392,0.4595712674,0.4343434343,0.3303571429,0.3571428571,0,0,nan,nan,nan,nan,0.6646470056
33,SMT_FB_THCK,7,N,07/21/2021,45,0.7117893445,0.7317301478,0.7293723871,0.7246604765,0.7041665924,0.6769150599,0.6556758117,0.5595471369,0.5463994061,0.5388409371,0.4229979466,0.2592592593,0.1176470588,0,nan,nan,nan,nan,0.7252533095
40,CA_N95_IPA,1,N,07/21/2021,46,0.1030764318,0.1386827074,0.1048887129,0.07440174039,0.05762735966,0.04491947003,0.03310836623,0.02504943968,0.02579218865,0.01407624633,0.008281573499,0,0,0,nan,nan,nan,nan,0.1129679903
41,CA_N95_IPA,1,N,07/21/2021,49,0.1878342422,0.2396560426,0.1892672076,0.1424996808,0.1085181657,0.09008836876,0.06059870059,0.03631112028,0.03534078615,0.02393162393,0,0,0,0,0,nan,nan,nan,0.1995673471
42,CA_N95_IPA,1,N,07/21/2021,45,0.1716735823,0.21596249,0.1702351146,0.1249189053,0.09414319019,0.07621905476,0.04827186716,0.03776129467,0.02313922098,0.01556886228,0.01327433628,0,0,0,0,nan,nan,nan,0.1792620863
43,CA_N99_IPA,1,N,07/21/2021,39,0.3156567041,0.3860535518,0.3353754267,0.277763574,0.2479576065,0.2145523342,0.1630779615,0.1410044801,0.1170423092,0.09838107098,0.07906976744,0.06666666667,0,0,0,nan,nan,nan,0.3433408471
44,CA_N99_IPA,1,N,07/21/2021,47,0.1460348425,0.1797032284,0.147170703,0.1183731433,0.1041557469,0.09863157895,0.07004054243,0.0618805898,0.04969450102,0.05733333333,0.07710843373,0.02985074627,0,0,0,nan,nan,nan,0.1556019958
45,CA_N99_IPA,1,N,07/21/2021,36,0.1881583324,0.2178747205,0.1873048555,0.161076888,0.1463050608,0.142273465,0.1133333333,0.112335958,0.1020497165,0.1215629522,0.0580474934,0.06451612903,0,0,0,0,nan,nan,0.1957368878
46,FLANNEL,2,N,07/22/2021,50,0.561209369,0.6635664685,0.6137296809,0.54609681,0.5068665549,0.4688185419,0.3829262433,0.3351433646,0.3118568647,0.2697121402,0.2068493151,0.07228915663,0,0,0,nan,nan,nan,0.6007794145
47,FLANNEL,2,N,07/22/2021,53,0.7518500772,0.7930339509,0.7589299372,0.7095154878,0.656246726,0.6063563861,0.5222359372,0.4516453996,0.4013411908,0.3644827586,0.2794561934,0.21875,0.1333333333,0,0,nan,nan,nan,0.74139727
48,FLANNEL,2,N,07/22/2021,56,0.6437268972,0.7357791037,0.698669181,0.6345397716,0.5806873122,0.5419599638,0.4438799689,0.3802299976,0.3593068753,0.3222584982,0.2306425041,0.1523809524,0,0,nan,nan,nan,nan,0.6788010096
49,FLANNEL,3,N,07/22/2021,83,0.7197246418,0.7755715083,0.7608196724,0.7023099004,0.6490611617,0.6064938082,0.4901179886,0.4074029419,0.36347731,0.3041090703,0.1980519481,0.1463414634,0,0,0,nan,nan,nan,0.7313330665
50,FLANNEL,3,N,07/22/2021,71,0.557906843,0.6798751481,0.6259834133,0.5537988192,0.4798656427,0.4198080989,0.3355214683,0.274953911,0.2306828812,0.2148653035,0.1575342466,0.1045751634,0,0,0,nan,nan,nan,0.602894764
51,FLANNEL,3,N,07/22/2021,78,0.7762514407,0.9558554519,0.9094714543,0.8214752501,0.7391841053,0.6740134302,0.5763977559,0.4565581618,0.422895189,0.371522694,0.2690238278,0.1515151515,0,nan,0,nan,nan,nan,0.8730577563
52,ADVANCHK_SMS,2,N,07/30/2021,27,0.7588164251,0.9004707165,0.856091479,0.7840241886,0.6978631512,0.6204555714,0.5484613952,0.4998508251,0.4517699251,0.3737042734,0.373157092,0.3172413793,0.4,1,nan,nan,nan,nan,0.8229329889
53,ADVANCHK_SMS,2,N,07/30/2021,30,0.7002580096,0.8503414329,0.8033084258,0.7227015911,0.6519124124,0.5619415019,0.5006462411,0.4400708631,0.3846508316,0.301695207,0.2989963022,0.1375661376,0.07692307692,0,0,nan,nan,nan,0.7724467035
54,ADVANCHK_SMS,2,N,07/30/2021,28,0.7545815387,0.854028375,0.8225866705,0.7385038885,0.70276827,0.6160460052,0.5638518983,0.4828136427,0.444074223,0.4075228595,0.3730084349,0.2845849802,0.2564102564,0,0,nan,nan,nan,0.7921773069
55,ADVANCHK_SMS,3,N,07/30/2021,35,0.5367787315,0.7167338396,0.6517325528,0.557318679,0.5029901666,0.4045526065,0.3704666471,0.2970303506,0.2796045068,0.2214866654,0.2051677594,0.05504587156,0.1153846154,0.1333333333,0,nan,0,nan,0.6274086203
56,ADVANCHK_SMS,3,N,07/30/2021,47,0.5708763279,0.7482481473,0.6684991863,0.5535883928,0.4755705266,0.3877199565,0.3312423873,0.2879231357,0.2523234459,0.2164770141,0.1953010279,0.1379310345,0.2083333333,0,0,nan,0,nan,0.6387073922
57,ADVANCHK_SMS,3,N,07/30/2021,31,0.591706179,0.7428844926,0.6822447259,0.590783006,0.5339457719,0.4673128237,0.4126228892,0.3728035207,0.3401671309,0.313353223,0.2837395417,0.1907692308,0.2608695652,0.25,0,nan,nan,nan,0.6585558937
58,ADVANCHK_SMS,1,N,08/03/2021,17,0.8952856697,0.9635065448,0.9478500755,0.9239520534,0.8682188124,0.821754094,0.7850214302,0.7294085239,0.6567613063,0.5273430782,0.3744058501,0.275862069,0,nan,nan,nan,0,nan,0.9260041893
59,ADVANCHK_SMS,1,N,08/03/2021,18,0.7650598748,0.9041974734,0.8525725443,0.7907243433,0.708580191,0.6516655947,0.5914721018,0.5459567684,0.4918088376,0.3852055237,0.2622743111,0.2019230769,0,0,0,nan,nan,nan,0.8236014435
60,ADVANCHK_SMS,1,N,08/03/2021,18,0.7938138028,0.9312924463,0.8922047868,0.8559351901,0.7763045907,0.7284771657,0.665442778,0.6279951927,0.5577529254,0.4731554955,0.3636959371,0.2844036697,0.4,0.6666666667,0,nan,nan,nan,0.869150987
61,PELL_930,10,N,08/03/2021,16,0.8561024949,0.9190653755,0.9035690683,0.8913367466,0.841581414,0.810597645,0.7721390141,0.7425555974,0.7051095623,0.627684108,0.5134453782,0.3875,0.08333333333,0.6666666667,nan,nan,nan,nan,0.8903638514
62,PELL_930,10,N,08/03/2021,15,0.8405505203,0.9090956378,0.8892526491,0.8827786038,0.8323096966,0.7857745033,0.7635621515,0.7461054587,0.725885242,0.6541209084,0.5313857086,0.3111111111,0.1481481481,0,nan,nan,nan,nan,0.8802192194
63,PELL_930,10,N,08/03/2021,16,0.8468025765,0.9038248804,0.8895184254,0.8726898357,0.8201905362,0.7577864683,0.7498851651,0.7015093197,0.6824395673,0.6035482375,0.4216634429,0.2843137255,0.1714285714,0,0,nan,nan,nan,0.8734955004
64,PELL_930,15,N,08/03/2021,27,0.7372288071,0.8553941231,0.8141278774,0.7601283311,0.6703430827,0.5943971996,0.5940364377,0.5344335436,0.4863625636,0.4085901548,0.3501133787,0.1465968586,0,0,0,nan,nan,nan,0.7908722472
65,PELL_930,15,N,08/03/2021,25,0.7648765301,0.883460491,0.8566694067,0.8101211826,0.7199672407,0.6694674861,0.6543061092,0.6129742689,0.5726652239,0.4957861582,0.4388489209,0.328042328,0.2857142857,0,nan,nan,nan,nan,0.833351135
66,PELL_930,15,N,08/03/2021,26,0.7063365887,0.8267663951,0.7753471019,0.7030761623,0.6274698753,0.5473909769,0.510310043,0.4668873148,0.4119490695,0.3282866999,0.2826639553,0.1818181818,0.2068965517,0,nan,0,nan,nan,0.7513155674
67,HAL_MASK,1,N,08/03/2021,11,0.4476571429,0.582745262,0.5090124564,0.4387568797,0.4048307385,0.3569785609,0.3338937611,0.3184448208,0.3188055371,0.3060384263,0.3092436975,0.4624277457,0.2142857143,0,nan,2,nan,nan,0.5061452521
68,HAL_MASK,1,N,08/03/2021,12,0.3985616324,0.5271191187,0.4499929708,0.3684081153,0.3433289993,0.3028318686,0.2777460198,0.2723338485,0.2636819337,0.2742814668,0.2807424594,0.2208588957,0.2162162162,0,nan,0,nan,0,0.4480503974
69,HAL_MASK,1,N,08/03/2021,9,0.5364677517,0.6405543381,0.5937575048,0.5438608764,0.5413083078,0.5097739485,0.4739732423,0.4684790251,0.4580480044,0.4591517578,0.4475362319,0.4216216216,0.2424242424,0,nan,2,nan,0,0.5924354912
70,FILTI,1,N,08/03/2021,9,0.7600819015,0.8342937015,0.8061856032,0.7754798041,0.7646511628,0.7301396049,0.7124559995,0.704812369,0.7171264529,0.6960661488,0.7140381282,0.5604395604,0.4444444444,1.2,0,nan,nan,nan,0.8025900785
71,FILTI,1,N,08/03/2021,6,0.8244528581,0.8703793143,0.8538965074,0.8393238548,0.8357055595,0.8072954638,0.8189410632,0.8134738964,0.8125141009,0.8206759443,0.761789601,0.7975460123,0.4,0.5714285714,0,nan,nan,nan,0.8538701525
72,FILTI,1,N,08/03/2021,9,0.7719362521,0.8434797168,0.8258809128,0.7993886495,0.7911942608,0.7780627766,0.7651044178,0.7513873474,0.7614012829,0.7961689587,0.7192982456,0.7357512953,0.96,0.4,2,nan,nan,nan,0.8217558695
73,FILTI_WASH,1,N,08/03/2021,2,0.9642181163,0.9826047759,0.9670139836,0.9561817441,0.914034094,0.9071526112,0.889617219,0.8827962778,0.8493943472,0.8320943953,0.784769963,0.890052356,0.8461538462,0.8571428571,2,nan,nan,nan,0.9617709674
74,FILTI_WASH,1,N,08/03/2021,3,0.8932128366,0.9530971386,0.9283643428,0.8991218261,0.8876466405,0.8525871172,0.8361292601,0.8162936725,0.8187134503,0.8103140158,0.7680090754,0.8050314465,1.032258065,8,nan,0,nan,nan,0.9234893001
75,FILTI_WASH,1,N,08/03/2021,4,0.854999096,0.918975858,0.9023586243,0.8832598604,0.8736606053,0.8360891281,0.8130732967,0.7725897774,0.749899746,0.7600777076,0.6967471144,0.5177664975,0.4848484848,0,0,0,nan,nan,0.8965084398
76,OLFN,1,N,08/04/2021,6,0.9870279146,1.010765649,1.011108529,1.021838097,0.9869928368,0.935493875,1.000319528,1.017526442,0.9722565135,0.9710580041,0.9106659448,1.057591623,1.571428571,0.6666666667,nan,nan,nan,nan,1.008527712
77,OLFN,1,N,08/04/2021,5,0.952616807,0.9805990542,0.9757307635,0.9538006433,0.9495929472,0.9515007464,0.9212094664,0.9250019191,0.937398374,0.9707223422,1.01405518,1.030927835,1.25,0.8,nan,nan,nan,nan,0.9689596491
78,OLFN,1,N,08/04/2021,5,0.9528474182,0.974676708,0.973658673,0.9719270715,0.9713584729,0.9666389056,0.9455475533,0.9328866473,0.8964990452,0.879554222,0.792219275,0.6279069767,0.5333333333,0.3333333333,0,nan,nan,nan,0.9713904051
79,OLFN,2,N,08/04/2021,11,0.8559001208,0.9249436469,0.9035054466,0.8754473424,0.8564640361,0.8438729114,0.7947759172,0.7564184171,0.7189526638,0.7148342765,0.6468431772,0.5052631579,0.5714285714,0,0,nan,nan,nan,0.8953401828
80,OLFN,2,N,08/04/2021,11,0.8707035014,0.946527041,0.911129983,0.8633099234,0.8373811699,0.8090744236,0.783595823,0.7968427789,0.8126701312,0.8375819374,0.8591992803,0.936802974,1.102040816,0.2222222222,0,nan,nan,nan,0.9020788203
81,OLFN,2,N,08/04/2021,15,0.8830457863,0.9307607604,0.9404529639,0.9375093453,0.9350791807,0.925926302,0.9090108949,0.8982109336,0.8912169731,0.8505422993,0.8511749347,0.6391752577,0.724137931,0.5454545455,0,0,nan,nan,0.9333537767
82,OLFN,3,N,08/04/2021,21,0.8590280013,0.9145353638,0.9151496187,0.9122528112,0.8968545317,0.875421884,0.8358539795,0.7803859447,0.7350657291,0.7043504593,0.5699365908,0.3726708075,0.28125,0,0,0,nan,nan,0.9065496707
83,OLFN,3,N,08/04/2021,17,0.8372381691,0.9170219814,0.8861612782,0.8465499237,0.8203367849,0.77439146,0.7406284133,0.7158760405,0.7107933579,0.6870683039,0.6570670709,0.6038961039,0.2068965517,0,0,nan,0,nan,0.8753609328
84,OLFN,3,N,08/04/2021,19,0.848636437,0.9073355584,0.866649678,0.8106238297,0.7685009966,0.7149252057,0.7005632213,0.6849778153,0.6713930348,0.6561760773,0.7078798433,0.7058823529,0.6382978723,0.25,2,nan,0,nan,0.8532225727
85,HAL_MASK_IPA,1,N,08/04/2021,17,0.7722572509,0.8846222782,0.8352887457,0.7615894766,0.706568222,0.6281722778,0.5872637051,0.532677604,0.4889009572,0.4249942568,0.3523622047,0.2735042735,0,0,0,0,nan,nan,0.8150014672
86,HAL_MASK_IPA,1,N,08/04/2021,17,0.7658111055,0.8927776593,0.8438670156,0.7700072664,0.7299571502,0.694131955,0.6176787944,0.5859751759,0.5480377957,0.5616918429,0.5045317221,0.5178571429,0.2909090909,0.25,0,0,nan,nan,0.8277686199
87,HAL_MASK_IPA,1,N,08/04/2021,19,0.6984312417,0.8405957918,0.7720348172,0.6786508278,0.6176854569,0.5509308644,0.4990549991,0.4641330535,0.4173169573,0.4089131208,0.354589372,0.2644628099,0.1666666667,0.25,nan,nan,nan,nan,0.7522095303
88,H100,1,N,08/11/2021,14,0.8937267949,1.010798151,0.9679286936,0.8998953067,0.8095032746,0.7304531758,0.6805100887,0.6160917184,0.561769258,0.4525348984,0.323633157,0.1428571429,0.06060606061,0,0,nan,nan,nan,0.9271803962
89,H100,1,N,08/11/2021,13,0.7602944847,0.9188868963,0.8608331105,0.7888061609,0.7017153232,0.6412725066,0.5822114908,0.5279318697,0.4653456742,0.3605931698,0.2286958889,0.1276595745,0,0,0,nan,nan,nan,0.8302667685
90,H100,1,N,08/11/2021,12,0.9159367053,0.9583804801,0.9313785942,0.8959318032,0.8389472973,0.7926798272,0.7421084571,0.6961385604,0.6389549358,0.5248104009,0.4187420853,0.28,0.375,0,0,nan,nan,nan,0.9126121737
91,H100,2,N,08/11/2021,28,0.5037131339,0.7359574598,0.6238087048,0.4815302845,0.3588156685,0.2778712421,0.2196842933,0.1710396975,0.1212890279,0.07015748479,0.0365752286,0,0,0,nan,nan,nan,nan,0.5912925031
92,H100,2,N,08/11/2021,28,0.6175670424,0.8353041569,0.7343524213,0.5999308809,0.4783376413,0.3899505623,0.3137541317,0.2571129464,0.2057920875,0.1168879646,0.07977207977,0.06796116505,0,0,nan,nan,nan,nan,0.6954032446
93,H100,2,N,08/11/2021,28,0.4548620413,0.6834002352,0.5636017798,0.4256073258,0.3084989977,0.2202879656,0.1894479032,0.1427268688,0.1034462952,0.05659651629,0.03064623584,0.03773584906,0,0,nan,nan,nan,nan,0.5347472123
94,H100,3,N,08/11/2021,42,0.4019432194,0.6104526769,0.4792034572,0.3375284622,0.2274480968,0.1588707065,0.1274962325,0.08763715816,0.06289502081,0.03394425128,0.01393242773,0,0,0,nan,nan,nan,nan,0.4580051001
95,H100,3,N,08/11/2021,44,0.4005298913,0.5985051434,0.4790468642,0.347640833,0.2437040304,0.1719964301,0.1398677781,0.09643770911,0.06718500797,0.04333124609,0.02179656539,0.01294498382,0.04347826087,0,nan,nan,nan,nan,0.4585715347
96,H100,3,N,08/11/2021,47,0.3534513517,0.5901575952,0.4539844837,0.3174493675,0.2117178387,0.1533023612,0.10919899,0.0735775916,0.04829331692,0.0246090746,0.01542416452,0.01179941003,0,0,0,nan,nan,nan,0.436891078
97,ADVANCHK_SMSx2 + FLANNELx1,1,N,08/11/2021,86,0.4970567121,0.7173121812,0.6160027903,0.4693357556,0.3614527611,0.2615771232,0.2016172918,0.1353790614,0.09607233682,0.05725688848,0.02737520129,0,0,0,0,nan,nan,nan,0.574810495
98,ADVANCHK_SMSx2 + FLANNELx1,1,N,08/11/2021,79,0.5423351159,0.7415610368,0.6433240344,0.503192067,0.3977734425,0.289667421,0.2371929825,0.165176223,0.1199907557,0.07778342654,0.04175543247,0.01716738197,0,0,nan,nan,nan,nan,0.6040640269
99,ADVANCHK_SMSx2 + FLANNELx1,1,N,08/11/2021,71,0.5638643753,0.7372533463,0.647605246,0.5227909071,0.4309003304,0.3273683249,0.2684519853,0.1972356156,0.1619971072,0.1128234952,0.05866425993,0.02521008403,0,0,nan,nan,nan,nan,0.6154054222
100,ADVANCHK_SMSx3 + SATEENx1,1,N,08/11/2021,84,0.5034281661,0.6681423417,0.5794609597,0.452572946,0.3618612608,0.2865233945,0.210026594,0.1496910975,0.1167959862,0.08566415523,0.05510388437,0.02307692308,0,0,0,0,0,nan,0.5489382211
101,ADVANCHK_SMSx3 + SATEENx1,1,N,08/11/2021,90,0.4357689631,0.6029147515,0.5182788734,0.3968847146,0.3009229708,0.2345711738,0.1560017849,0.1104164113,0.08165322581,0.06041456016,0.02918069585,0.01,0,0,0,0,0,nan,0.4918560079
102,ADVANCHK_SMSx3 + SATEENx1,1,N,08/11/2021,96,0.4402231766,0.6075874188,0.5322645383,0.4154857462,0.3319192954,0.2522789649,0.1768162603,0.1191346356,0.08652857353,0.06329931533,0.02132435466,0.01052631579,0,0,0,0,0,nan,0.503649577
103,FILTIx1 + FLANNELx1,1,N,08/11/2021,81,0.01590808661,0.03054914965,0.0173239075,0.01075868649,0.008244245043,0.005717525871,0.004169950927,0.003651228321,0.002215146061,0.002888086643,0.004085801839,0,0,0,0,0,nan,nan,0.01993142712
104,FILTIx1 + FLANNELx1,1,N,08/11/2021,85,0.01710066865,0.02933650497,0.01782465151,0.01115636969,0.008897951617,0.007679080395,0.004727295709,0.003291407077,0.002728699093,0.002540709089,0.003994008987,0,0,0,0,0,nan,nan,0.01974167811
105,FILTIx1 + FLANNELx1,1,N,08/11/2021,71,0.04061935717,0.07765711857,0.04553243328,0.02579029758,0.01950129073,0.01520948692,0.009518653287,0.008033972225,0.005485393545,0.005639476334,0.001539645881,0,0,0,0,0,nan,nan,0.05073015161
106,FLANNEL,1,N,08/11/2021,27,0.7582427789,0.8692096166,0.8092368207,0.7450757628,0.6870166231,0.6374941995,0.5680366203,0.5213097318,0.4764878536,0.3988736771,0.2827262892,0.1897435897,0.02739726027,0.2222222222,0,0,nan,nan,0.7952169529
107,FLANNEL,1,N,08/11/2021,25,0.9188837209,0.9354809822,0.9214982288,0.8916223248,0.8635396833,0.8246286005,0.7894958337,0.7483090875,0.7193732194,0.6360348862,0.5541086664,0.3924528302,0.2307692308,0.75,0,0,nan,nan,0.9068122801
108,FLANNEL,1,N,08/11/2021,26,0.8884940027,0.9418213253,0.9400461136,0.9224009616,0.905757744,0.8647170997,0.8284611011,0.7626968286,0.7071982004,0.6535677353,0.545378851,0.3961661342,0.1153846154,0.2857142857,0,0,nan,nan,0.9253793817
109,SMT_FB_THCK,3,Y,08/12/2021,16,0.8846421387,0.91,0.88,0.85,0.82,0.77,0.75,0.73,0.59,0.56,0.56,0.44,0.27,0.00,0.00,0.00,nan,nan,0.89
110,SMT_FB_THCK,3,Y,08/12/2021,18,0.9026519753,0.90,0.89,0.87,0.84,0.81,0.81,0.79,0.75,0.71,0.61,0.34,0.18,0.62,0.00,0.00,nan,nan,0.89
111,SMT_FB_THCK,3,Y,08/12/2021,17,0.8526902823,0.88,0.85,0.80,0.78,0.74,0.72,0.67,0.66,0.59,0.46,0.38,0.30,0.00,0.22,nan,nan,nan,0.86
112,SMT_FB_THCK,5,Y,08/12/2021,31,0.8323969228,0.86,0.85,0.82,0.80,0.76,0.72,0.64,0.61,0.49,0.34,0.30,0.05,0.20,0.00,nan,0.00,nan,0.85
113,SMT_FB_THCK,5,Y,08/12/2021,30,0.7991435281,0.84,0.80,0.77,0.73,0.70,0.63,0.62,0.53,0.45,0.47,0.30,0.28,0.36,0.00,nan,0.00,nan,0.81
114,SMT_FB_THCK,5,Y,08/12/2021,29,0.8245108658,0.85,0.83,0.80,0.78,0.73,0.70,0.63,0.67,0.52,0.53,0.32,0.00,0.25,0.00,nan,nan,nan,0.84
115,SMT_FB_THCK,7,Y,08/12/2021,48,0.6741092745,0.73,0.68,0.62,0.58,0.53,0.46,0.39,0.36,0.29,0.19,0.11,0.04,0.00,0.00,0.00,nan,nan,0.70
116,SMT_FB_THCK,7,Y,08/12/2021,45,0.7191690098,0.7496645167,0.7144173593,0.6587188534,0.6168858509,0.5765875785,0.5305643553,0.4162436548,0.3792633015,0.3213572854,0.2036553525,0.128,0,0,0,0,nan,nan,0.7227217391
117,SMT_FB_THCK,7,Y,08/12/2021,42,0.7569188302,0.7836786249,0.7524178295,0.7139084106,0.6590044305,0.6512047649,0.5705882353,0.5048275862,0.5167682927,0.3718487395,0.2246575342,0.1612903226,0,0.2857142857,0,0,nan,nan,0.7612791039
118,ADVANCHK_SMS,1,Y,08/12/2021,22,0.8317458839,0.8734289539,0.8155587926,0.7579453927,0.6765271122,0.6234910277,0.5256232687,0.4792196777,0.4298932384,0.3444676409,0.2352941176,0.09708737864,0,0,0,nan,nan,nan,0.8340801401
119,ADVANCHK_SMS,1,Y,08/12/2021,15,0.8146424694,0.8624575977,0.8343334892,0.788663439,0.7476434269,0.7149525894,0.6418932528,0.5816917729,0.5505403687,0.4536679537,0.4041994751,0.1869158879,0.3414634146,0,0,nan,0,nan,0.8390868846
120,ADVANCHK_SMS,1,Y,08/12/2021,20,0.7768476752,0.8312228294,0.7805460427,0.7227394813,0.6733696471,0.6356776765,0.5459587956,0.4976923077,0.4312767257,0.3298178332,0.2403628118,0.1935483871,0.2564102564,0.1428571429,0,nan,0,nan,0.7954657733
121,ADVANCHK_SMS,2,Y,08/12/2021,38,0.6733184009,0.7406950702,0.6756170137,0.5974853311,0.5345668784,0.476083707,0.3904295813,0.2718446602,0.2431161854,0.2006079027,0.08067940552,0,0.04255319149,0,0,0,nan,nan,0.6949445064
