Epoch_UTC,0.3_Bin,0.5_Bin,1.0_Bin,2.5_Bin,5.0_Bin,10.0_Bin,PM_1.0_SP,PM_2.5_SP,PM_10.0_SP,PM_1.0_AM,PM_2.5_AM,PM_10.0_AM
1621526987.5151,624.0000,200.0000,29.0000,2.0000,1.0000,0.0000,4.0000,4.0000,5.0000,4.0000,4.0000,5.0000
1621526988.3541,624.0000,200.0000,29.0000,2.0000,1.0000,0.0000,3.0000,3.0000,4.0000,3.0000,3.0000,4.0000
1621526989.1911,666.0000,212.0000,32.0000,2.0000,1.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526990.1011,666.0000,212.0000,32.0000,2.0000,1.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526990.9381,666.0000,212.0000,32.0000,2.0000,1.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526991.7771,693.0000,221.0000,27.0000,2.0000,1.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526992.6851,693.0000,221.0000,27.0000,2.0000,1.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526993.5241,693.0000,221.0000,27.0000,2.0000,1.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621526994.3631,654.0000,206.0000,22.0000,1.0000,1.0000,0.0000,3.0000,3.0000,4.0000,3.0000,3.0000,4.0000
1621526995.2711,654.0000,206.0000,22.0000,1.0000,1.0000,0.0000,3.0000,3.0000,4.0000,3.0000,3.0000,4.0000
1621526996.1091,654.0000,206.0000,22.0000,1.0000,1.0000,0.0000,3.0000,3.0000,4.0000,3.0000,3.0000,4.0000
1621526996.9481,672.0000,208.0000,24.0000,1.0000,1.0000,0.0000,2.0000,3.0000,4.0000,2.0000,3.0000,4.0000
1621526997.8561,672.0000,208.0000,24.0000,1.0000,1.0000,0.0000,3.0000,4.0000,5.0000,3.0000,4.0000,5.0000
1621526998.6951,672.0000,208.0000,24.0000,1.0000,1.0000,0.0000,3.0000,4.0000,5.0000,3.0000,4.0000,5.0000
1621526999.5341,645.0000,203.0000,26.0000,1.0000,1.0000,0.0000,3.0000,4.0000,5.0000,3.0000,4.0000,5.0000
1621527000.4421,645.0000,203.0000,26.0000,1.0000,1.0000,0.0000,2.0000,3.0000,4.0000,2.0000,3.0000,4.0000
1621527001.2811,645.0000,203.0000,26.0000,1.0000,1.0000,0.0000,2.0000,3.0000,4.0000,2.0000,3.0000,4.0000
1621527002.1191,690.0000,216.0000,30.0000,1.0000,1.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621527003.0281,690.0000,216.0000,30.0000,1.0000,1.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621527003.8661,690.0000,216.0000,30.0000,1.0000,1.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621527004.7051,699.0000,216.0000,27.0000,1.0000,1.0000,0.0000,2.0000,3.0000,4.0000,2.0000,3.0000,4.0000
1621527005.6131,699.0000,216.0000,27.0000,1.0000,1.0000,0.0000,2.0000,3.0000,4.0000,2.0000,3.0000,4.0000
1621527006.4521,699.0000,216.0000,27.0000,1.0000,1.0000,0.0000,2.0000,3.0000,4.0000,2.0000,3.0000,4.0000
1621527007.2911,744.0000,231.0000,31.0000,0.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621527008.1991,744.0000,231.0000,31.0000,0.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621527009.0371,744.0000,231.0000,31.0000,0.0000,0.0000,0.0000,3.0000,4.0000,4.0000,3.0000,4.0000,4.0000
1621527009.8761,699.0000,214.0000,31.0000,0.0000,0.0000,0.0000,2.0000,3.0000,3.0000,2.0000,3.0000,3.0000
1621527010.7841,699.0000,214.0000,31.0000,0.0000,0.0000,0.0000,2.0000,3.0000,3.0000,2.0000,3.0000,3.0000
1621527011.6231,699.0000,214.0000,31.0000,0.0000,0.0000,0.0000,2.0000,3.0000,3.0000,2.0000,3.0000,3.0000
1621527012.4621,660.0000,201.0000,29.0000,0.0000,0.0000,0.0000,2.0000,3.0000,3.0000,2.0000,3.0000,3.0000
1621527013.3701,660.0000,201.0000,29.0000,0.0000,0.0000,0.0000,2.0000,3.0000,3.0000,2.0000,3.0000,3.0000
1621527014.2091,660.0000,201.0000,29.0000,0.0000,0.0000,0.0000,2.0000,3.0000,3.0000,2.0000,3.0000,3.0000
1621527015.0471,654.0000,197.0000,29.0000,3.0000,0.0000,0.0000,2.0000,3.0000,4.0000,2.0000,3.0000,4.0000
1621527015.9561,654.0000,197.0000,29.0000,3.0000,0.0000,0.0000,2.0000,3.0000,4.0000,2.0000,3.0000,4.0000
1621527016.7941,654.0000,197.0000,29.0000,3.0000,0.0000,0.0000,2.0000,3.0000,4.0000,2.0000,3.0000,4.0000
1621527017.6321,660.0000,201.0000,38.0000,4.0000,1.0000,1.0000,2.0000,4.0000,5.0000,2.0000,4.0000,5.0000
1621527018.5411,660.0000,201.0000,38.0000,4.0000,1.0000,1.0000,3.0000,5.0000,6.0000,3.0000,5.0000,6.0000
1621527019.3801,660.0000,201.0000,38.0000,4.0000,1.0000,1.0000,3.0000,5.0000,6.0000,3.0000,5.0000,6.0000
1621527020.2181,672.0000,209.0000,43.0000,4.0000,1.0000,1.0000,3.0000,5.0000,6.0000,3.0000,5.0000,6.0000
1621527021.1261,672.0000,209.0000,43.0000,4.0000,1.0000,1.0000,2.0000,4.0000,5.0000,2.0000,4.0000,5.0000
1621527021.9641,672.0000,209.0000,43.0000,4.0000,1.0000,1.0000,2.0000,4.0000,5.0000,2.0000,4.0000,5.0000
1621527022.8031,681.0000,213.0000,40.0000,4.0000,1.0000,1.0000,2.0000,4.0000,5.0000,2.0000,4.0000,5.0000
1621527023.7111,681.0000,213.0000,40.0000,4.0000,1.0000,1.0000,2.0000,4.0000,5.0000,2.0000,4.0000,5.0000
1621527024.5501,681.0000,213.0000,40.0000,4.0000,1.0000,1.0000,2.0000,4.0000,5.0000,2.0000,4.0000,5.0000
1621527025.3891,720.0000,224.0000,44.0000,5.0000,2.0000,1.0000,3.0000,5.0000,6.0000,3.0000,5.0000,6.0000
1621527026.2971,720.0000,224.0000,44.0000,5.0000,2.0000,1.0000,3.0000,5.0000,6.0000,3.0000,5.0000,6.0000
